user_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
2,0.20536797,-0.05836199,0.014116359,0.008020127,-0.019028602,-0.18651846,-0.24337254,0.1464975,-0.15773347,0.15656069,-0.14125213,0.14387672,-0.016361507,-0.17421131,0.03612671,-0.088769056,-0.032245465,0.08884862,0.16007408,0.03054117,0.13631481,0.12184204,0.14546828,-0.22350228,-0.12323439,-0.121485256,0.0676668,0.055219088,-0.056275677,-0.040885434,0.077702895,0.13641115,-0.12490695,0.14025834,-0.042104807,-0.23234667,0.07607417,0.14273271,0.23068433,0.1709206,-0.1405708,0.17329617,0.07693802,-0.14921395,0.16962428,-0.20758909,0.1109705,-0.10960756,0.1993789,-0.1597709,-0.12913269,-0.13070187,-0.019178674,0.08664932,-0.1940764,-0.061477877,0.0048619183,-0.046521064,0.025829233,-0.27114135,-0.121187724,-0.1429066,0.05648455,-0.17679095,-0.10447321,0.12802874,0.009622051,0.11642969,0.113803945,-0.0065505533,0.1232186,-0.03382896,-0.14853272,0.21379802,-0.07995943,0.07691303,-0.11972141,0.14215054,0.10240961,0.10118679,-0.18094172,0.012005065,0.16379641,0.09510487,0.064895004,-0.17643695,0.10561543,-0.115608916,-0.18220562,-0.12499304,-0.11362938,0.05829255,-0.22527309,-0.059985247,0.19016469,0.11415721,-0.07731599,0.063481264,-0.012235033,0.18207374,0.025112022,0.11656097,0.08651568,0.06403818,0.051695224,0.011696504,-0.02560289,-0.13872384,0.17329171,0.18582365,-0.22732385,-0.16375837,-0.06650174,-0.11466752,-0.040270496,0.1596272,0.124659754,-0.14157264,0.03834636,-0.15330072,0.22722736,-0.14990869,0.063221395,0.1399662,0.011628024,0.0060035526,0.17238809,-0.09664388
4,0.17541024,-0.054419905,0.012642569,0.007730117,-0.016946938,-0.16738085,-0.19400926,0.12093182,-0.14805962,0.14002146,-0.13116942,0.12172416,-0.022321664,-0.1452964,0.030279843,-0.085164644,-0.028982664,0.08132953,0.13954794,0.020484723,0.12113619,0.09923677,0.13894235,-0.1816521,-0.12033393,-0.108585835,0.04569353,0.039008543,-0.04503709,-0.06758231,0.064183705,0.11270759,-0.1194667,0.12698439,-0.040285982,-0.19404331,0.06417156,0.12788905,0.19982593,0.14331459,-0.1345591,0.1538062,0.073888294,-0.1320247,0.15034032,-0.18520766,0.09513214,-0.08858165,0.15427287,-0.12070638,-0.099460505,-0.110937536,-0.021350868,0.06452643,-0.15875964,-0.04971447,0.005376701,-0.041950494,0.017240444,-0.23282081,-0.103106916,-0.10041197,0.054957848,-0.1514187,-0.084295884,0.1227062,-0.0004974985,0.10823284,0.09000368,-0.010432447,0.10219364,-0.03467582,-0.118655935,0.17646237,-0.059382565,0.0699016,-0.094291836,0.1182997,0.090587825,0.08499461,-0.14670712,0.011375089,0.12834398,0.06754876,0.05412973,-0.13257472,0.08530644,-0.11191037,-0.14936404,-0.108824104,-0.1063922,0.054961316,-0.2001321,-0.042995308,0.14906935,0.09901807,-0.062984504,0.05721598,-0.014558616,0.15056041,0.027822921,0.09348405,0.08732587,0.062428888,0.04481984,0.009967654,-0.027142981,-0.12818769,0.1503305,0.1585261,-0.1921442,-0.12697752,-0.05414931,-0.10745679,-0.03847488,0.14308761,0.10311741,-0.12671782,0.028110065,-0.12762351,0.17689909,-0.13028425,0.046047892,0.11660768,0.012064049,0.0035923577,0.1514021,-0.08494431
5,0.19293691,-0.06055807,0.010035765,0.0023462141,-0.019030444,-0.17270496,-0.23140308,0.13182169,-0.15233849,0.15142769,-0.13831607,0.13707155,-0.027846536,-0.15804948,0.027769214,-0.08135602,-0.028743697,0.08962197,0.13660711,0.017763378,0.12818179,0.09954959,0.1527067,-0.20236659,-0.13779369,-0.13712624,0.04486764,0.042218115,-0.05137326,-0.10669881,0.07506455,0.12056389,-0.13019638,0.1297647,-0.037068617,-0.21148096,0.06602796,0.1337007,0.21773085,0.15253013,-0.14353034,0.1617031,0.07787497,-0.12749754,0.15294893,-0.1985066,0.09847934,-0.100065164,0.16561167,-0.15546435,-0.11154247,-0.121362396,-0.02404204,0.0793722,-0.16734463,-0.04174526,0.009658644,-0.048275083,0.0016220062,-0.2599516,-0.10272139,-0.10858549,0.055793107,-0.17973436,-0.09085949,0.12805815,-0.007827799,0.124177985,0.091106705,-0.012748072,0.12135934,-0.035675097,-0.1346588,0.18137224,-0.06266638,0.07757401,-0.10145212,0.14413661,0.10024352,0.08393971,-0.17143287,0.0070027555,0.15476131,0.087398045,0.057524014,-0.15526104,0.099400565,-0.12551562,-0.16439879,-0.12446038,-0.11449936,0.05179706,-0.22102255,-0.04870886,0.17281817,0.11622458,-0.06824126,0.05620649,-0.014324125,0.17275223,0.02650493,0.10344196,0.09279921,0.057419162,0.043686595,0.008157846,-0.02893521,-0.13777265,0.15432426,0.16400361,-0.20950355,-0.15415484,-0.051242463,-0.111933164,-0.047242653,0.14517102,0.103693515,-0.1287196,0.028021198,-0.12993081,0.18601412,-0.15094444,0.050108377,0.1280858,0.013280548,0.00509389,0.1669075,-0.10271778
7,0.21115948,-0.054827772,0.016121268,0.011377128,-0.02005074,-0.1947909,-0.24524504,0.15527166,-0.15970616,0.16202536,-0.14150074,0.14856948,-0.011086717,-0.17099206,0.04408728,-0.09427829,-0.037186462,0.08770094,0.17591825,0.03985443,0.14050971,0.1315098,0.13873582,-0.2334012,-0.10833828,-0.111137524,0.08287854,0.061108824,-0.058139417,-0.00033152103,0.076649286,0.1451196,-0.119828016,0.14605463,-0.044206034,-0.24213499,0.08290869,0.14784677,0.23081374,0.17710263,-0.13664049,0.1804825,0.07645573,-0.16082048,0.18023999,-0.20925751,0.116291344,-0.11208995,0.21199863,-0.15570433,-0.14114079,-0.1339068,-0.016992437,0.08676324,-0.21096978,-0.07208646,0.0007991789,-0.042525165,0.040483713,-0.27491745,-0.13147195,-0.16000012,0.056282878,-0.17739086,-0.1107045,0.1246801,0.023524594,0.111162215,0.12517211,-0.002880398,0.12157073,-0.03251019,-0.154779,0.22825539,-0.08796001,0.07857736,-0.12683989,0.13694605,0.10284141,0.11258011,-0.18277866,0.015884237,0.16205047,0.09767197,0.069660425,-0.18537736,0.104236625,-0.111105494,-0.19514056,-0.12689742,-0.11591441,0.065829284,-0.22427797,-0.06556587,0.19826779,0.10781084,-0.085742116,0.06770898,-0.009607534,0.18690152,0.026988506,0.122515604,0.082998574,0.07066675,0.054947842,0.0140822595,-0.023359824,-0.13962922,0.18190978,0.19202515,-0.23837642,-0.16752909,-0.0770241,-0.11660736,-0.035333913,0.16580619,0.1346373,-0.1487597,0.04333689,-0.16792953,0.24779716,-0.14969657,0.07033465,0.14652881,0.0108617535,0.0069562458,0.1784033,-0.08500532
21,0.19476065,-0.05652651,0.013672311,0.008858771,-0.018932609,-0.18618375,-0.22295642,0.1362622,-0.15918586,0.15492478,-0.13820267,0.13779451,-0.020156922,-0.16129595,0.034270555,-0.090601,-0.033851344,0.08676485,0.15522969,0.027625635,0.1336302,0.11234076,0.14472695,-0.20826828,-0.121691525,-0.117528886,0.059255112,0.04869991,-0.05188289,-0.05345911,0.07107056,0.12806268,-0.12312451,0.13927542,-0.040594723,-0.21963869,0.07479968,0.14200996,0.21927743,0.16099261,-0.14211673,0.16752234,0.07619454,-0.14560622,0.16566736,-0.2037684,0.10306927,-0.10068723,0.17948076,-0.14213207,-0.119994536,-0.12257891,-0.021356275,0.07510337,-0.18262549,-0.058460657,0.0041276137,-0.044065934,0.021561196,-0.26041114,-0.114850335,-0.124383226,0.05572905,-0.16709833,-0.09726361,0.12867074,0.0077541815,0.11391385,0.10271791,-0.008479943,0.11485603,-0.034345042,-0.13616052,0.19834724,-0.071143076,0.0756555,-0.10906051,0.13120542,0.097974084,0.097339325,-0.16725193,0.01279309,0.14782141,0.081332065,0.05992689,-0.15577087,0.09912795,-0.11892114,-0.16927342,-0.11940681,-0.11229675,0.060785424,-0.21769112,-0.055248376,0.17031002,0.108929716,-0.072623,0.060028277,-0.011815105,0.17006263,0.028561523,0.10819268,0.09121404,0.066810966,0.048647083,0.01091926,-0.026732594,-0.13626435,0.16640633,0.1729985,-0.22001733,-0.14803456,-0.060577683,-0.113667205,-0.038898148,0.1546887,0.116131976,-0.13798557,0.03446775,-0.1466502,0.20772772,-0.14555094,0.056310922,0.13114583,0.0120032625,0.0045183515,0.16892304,-0.092800535
38,0.21023995,-0.0605881,0.014028447,0.008694359,-0.020044107,-0.19160804,-0.23776028,0.14548813,-0.16053605,0.15857586,-0.14608009,0.1463969,-0.018408578,-0.1746784,0.029728485,-0.09284091,-0.030144457,0.08994371,0.16298303,0.029087072,0.14329709,0.118960805,0.15781274,-0.22145104,-0.12784314,-0.12602063,0.06377854,0.054995768,-0.058940012,-0.053772792,0.07731988,0.13706066,-0.12286989,0.14872637,-0.04292009,-0.23688734,0.079824686,0.14791289,0.23650032,0.16948584,-0.14975317,0.17353895,0.07594304,-0.15126902,0.1649916,-0.2157557,0.105722114,-0.11000629,0.1936886,-0.15771875,-0.12741949,-0.13227211,-0.019884115,0.08953703,-0.19412209,-0.06269482,0.006391221,-0.04937446,0.020626258,-0.28285784,-0.11702291,-0.13177833,0.056218714,-0.1742881,-0.10255234,0.13800587,0.0072500934,0.12058577,0.107928894,-0.008138469,0.12864248,-0.0339956,-0.14421135,0.20773129,-0.072859436,0.07901082,-0.11676726,0.13753122,0.10261748,0.09996104,-0.18006518,0.013445144,0.163253,0.088439904,0.06104265,-0.16441989,0.10766966,-0.12556314,-0.17850645,-0.12747103,-0.11617536,0.060216106,-0.23125704,-0.06268985,0.17248867,0.12018515,-0.07146262,0.060787708,-0.010882654,0.17889237,0.025146576,0.11598445,0.098811865,0.06797748,0.05127285,0.010470066,-0.028248865,-0.14227372,0.17325133,0.18153906,-0.2327459,-0.16106316,-0.059849907,-0.113965794,-0.041785605,0.16783682,0.11827543,-0.14866759,0.039049778,-0.15430118,0.2280173,-0.15458901,0.06027973,0.13930637,0.012817063,0.004157274,0.18183699,-0.105388194
40,0.20006002,-0.058154214,0.012947282,0.0074323644,-0.019370005,-0.1881043,-0.23121841,0.13779849,-0.16255113,0.15778077,-0.14057687,0.1413561,-0.023034511,-0.16626796,0.033941228,-0.08997641,-0.033777937,0.08980335,0.15445714,0.026129533,0.13584784,0.11200558,0.14905193,-0.2132029,-0.12903056,-0.12545606,0.059554905,0.04823656,-0.053787652,-0.06676094,0.075183585,0.12965344,-0.12722847,0.14204985,-0.038919993,-0.22387145,0.075136766,0.14260308,0.22463597,0.16552226,-0.145196,0.1702234,0.07746553,-0.14620087,0.16740838,-0.20694426,0.10245127,-0.10325133,0.18153332,-0.1502205,-0.12275685,-0.1260854,-0.022720136,0.080911525,-0.1826744,-0.056289867,0.0049322974,-0.04644357,0.0163112,-0.26997754,-0.114383295,-0.1255299,0.05590642,-0.17551692,-0.097729295,0.1317302,0.0044961395,0.119747095,0.102465145,-0.009600917,0.12138284,-0.0348924,-0.13934533,0.20002986,-0.07041331,0.077853665,-0.110504,0.14025414,0.09962025,0.097244315,-0.17326213,0.011567162,0.15555981,0.08517239,0.06018367,-0.15905932,0.10391118,-0.124194294,-0.17419423,-0.12364567,-0.11510512,0.059391126,-0.22571082,-0.05708805,0.17853807,0.11416927,-0.07444252,0.059541315,-0.012226369,0.17452818,0.027995,0.110651195,0.09324745,0.06675307,0.04789975,0.01035562,-0.02788842,-0.1381705,0.1663796,0.17522882,-0.22368914,-0.1539648,-0.059520073,-0.11483671,-0.040707223,0.15520933,0.114712745,-0.13915648,0.035476547,-0.14672449,0.21063673,-0.15125507,0.0571897,0.13293207,0.012526675,0.0042861025,0.17388946,-0.099030085
46,0.20436816,-0.057583164,0.0143220145,0.008953194,-0.020203875,-0.19074102,-0.23570366,0.14351474,-0.16142495,0.1589156,-0.14099991,0.14560929,-0.01791214,-0.16852996,0.03557227,-0.091236606,-0.03410593,0.08853635,0.16093396,0.030754356,0.13773827,0.11793063,0.1470694,-0.21879663,-0.1224606,-0.120381795,0.06517813,0.054344896,-0.056563336,-0.044466563,0.074901015,0.13388795,-0.12201064,0.14409007,-0.041466806,-0.22989641,0.07811842,0.14621174,0.22661422,0.1692979,-0.14408566,0.17109749,0.07674889,-0.14967054,0.17057218,-0.20911126,0.10594977,-0.10593323,0.19218513,-0.1526088,-0.12796329,-0.12746042,-0.020257115,0.08198545,-0.1941554,-0.062026683,0.004055475,-0.0455157,0.024522584,-0.2714359,-0.11860476,-0.13658246,0.056359302,-0.17260817,-0.10240574,0.1301539,0.009936014,0.11735523,0.10980448,-0.007414742,0.12182231,-0.03382314,-0.14362274,0.20754845,-0.07558611,0.07735973,-0.11482872,0.13633797,0.10208103,0.101862796,-0.1781725,0.013028908,0.15630062,0.08889347,0.0627531,-0.16727443,0.10359765,-0.11895751,-0.18040714,-0.124011226,-0.11504298,0.06143892,-0.22542244,-0.060881153,0.18028398,0.11175959,-0.075687006,0.061720394,-0.011235778,0.17937332,0.027142785,0.11456316,0.09171498,0.06816321,0.050524466,0.0114620505,-0.02663765,-0.13919425,0.17164202,0.18162501,-0.22902867,-0.15851705,-0.0641513,-0.11536499,-0.039518923,0.16044399,0.122277156,-0.14354093,0.037129033,-0.15424259,0.22210589,-0.15083277,0.060324322,0.13784762,0.012231059,0.0050910246,0.17509945,-0.09589123
47,0.21401787,-0.05931971,0.014415776,0.008616788,-0.020403879,-0.19539407,-0.25276044,0.15119088,-0.16250166,0.16412747,-0.14313248,0.1468971,-0.015014267,-0.17573255,0.03777842,-0.09182854,-0.033519015,0.090085365,0.16754459,0.033806324,0.14202276,0.12600002,0.1456034,-0.2302187,-0.12000204,-0.12179947,0.07238716,0.059116818,-0.058072608,-0.032571338,0.08048859,0.14242369,-0.124717094,0.14684173,-0.041550424,-0.24197082,0.07992373,0.14726539,0.23714481,0.1779723,-0.1434091,0.17894717,0.078086466,-0.15702134,0.1753943,-0.2135156,0.11395679,-0.11300367,0.20704632,-0.16489233,-0.13763721,-0.13495766,-0.019658744,0.088059515,-0.20433374,-0.0664521,0.0034363507,-0.045244116,0.028679432,-0.28035277,-0.12705842,-0.15125167,0.056441244,-0.18180254,-0.10985647,0.12806794,0.013404318,0.11734536,0.11722832,-0.0055654277,0.12613134,-0.033579722,-0.15279955,0.22283149,-0.08374203,0.07973262,-0.12540177,0.1450467,0.10354078,0.10722914,-0.18517178,0.012911301,0.1669714,0.097119205,0.06644502,-0.18322867,0.10909836,-0.11836562,-0.19120914,-0.12831275,-0.1163946,0.062039293,-0.2302315,-0.06489175,0.1938737,0.11696598,-0.08139584,0.06400283,-0.010372815,0.18821293,0.026824834,0.1224335,0.08990041,0.06734036,0.05285585,0.012369888,-0.025108093,-0.14451072,0.18197533,0.18830682,-0.23812084,-0.16997561,-0.06891963,-0.117790595,-0.03900054,0.16540316,0.13077722,-0.14611217,0.04097237,-0.1604139,0.23743752,-0.15507604,0.06714111,0.14558682,0.011962775,0.0062106526,0.18009742,-0.09720395
54,0.19226383,-0.05494795,0.013667768,0.0081525715,-0.018732464,-0.18064353,-0.22564076,0.13805929,-0.15151362,0.15059437,-0.13686828,0.13869904,-0.018806316,-0.1625718,0.033972953,-0.08763927,-0.030333655,0.08583577,0.15638386,0.027920892,0.13049953,0.112906896,0.14062716,-0.2069556,-0.12066998,-0.11647874,0.05954253,0.048921324,-0.05484893,-0.049970184,0.073576994,0.12744184,-0.122453466,0.13690792,-0.042541284,-0.21859968,0.07105187,0.13609312,0.22018717,0.16181102,-0.14124183,0.16384326,0.07452799,-0.14244452,0.16390999,-0.19891264,0.104751274,-0.101258926,0.18441801,-0.14389747,-0.119508676,-0.1249368,-0.020036647,0.07920891,-0.18230416,-0.056174755,0.0046031433,-0.044573557,0.022787923,-0.25562838,-0.114777684,-0.12650365,0.056004155,-0.16784522,-0.09668423,0.12523955,0.0060582324,0.112511545,0.10351194,-0.007687147,0.11434363,-0.03402425,-0.13728043,0.20156847,-0.072331615,0.07443789,-0.109379664,0.13279134,0.09769926,0.09668949,-0.16781534,0.011915228,0.14788297,0.08456296,0.061196987,-0.16085756,0.09823839,-0.112223156,-0.16984041,-0.11720622,-0.111057766,0.057613656,-0.21831343,-0.053056885,0.17361121,0.10964488,-0.07330011,0.061598696,-0.012071105,0.17184646,0.026309062,0.105742835,0.08608193,0.06480892,0.04986123,0.011002121,-0.026757557,-0.13339102,0.16502263,0.17435712,-0.21379547,-0.15011923,-0.061939884,-0.11032805,-0.04019048,0.15468244,0.1160867,-0.13703826,0.033938598,-0.14200999,0.20964351,-0.14271776,0.05570102,0.13175541,0.012091717,0.0053774556,0.16264911,-0.0942967
